City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Galle,LK,85.05,overcast clouds,6.04,80.22,CocoBay Unawatuna
Charlestown,AU,70.0,light rain,-32.95,151.67,Panorama Motor Inn Hotel
Russell,US,73.4,clear sky,32.35,-85.2,Macs
Moju,BR,77.0,scattered clouds,-1.88,-48.77,HOTEL MARTINS
Matara,LK,86.85,overcast clouds,5.95,80.54,Amaloh Boutique Resort
Pucallpa,PE,72.61,overcast clouds,-8.38,-74.55,Manish Hotel Ecológico
Lafia,NG,77.95,overcast clouds,8.48,8.52,Low Cost Housing Estate
Teluk Nibung,ID,88.7,broken clouds,3.0,99.82,PONDOK FELISHA JUICE
Namibe,AO,73.96,clear sky,-15.2,12.15,Chik-Chik Namibe
Bodden Town,KY,82.0,broken clouds,19.28,-81.25,Will T Place
Tiarei,PF,80.6,few clouds,-17.53,-149.33,Le Rocher de Tahiti
Moyo,UG,71.46,scattered clouds,3.66,31.72,"Multi Purpose Training Center, Moyo"
Kathmandu,NP,77.0,scattered clouds,27.72,85.32,Hotel Shanker Kathmandu
Alofi,NU,78.8,overcast clouds,-19.06,-169.92,Taloa Heights
Abha,SA,82.4,scattered clouds,18.22,42.51,Abha Hotel
Bandarbeyla,SO,87.85,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
Tateyama,JP,71.01,light intensity shower rain,34.98,139.87,Tateyama Seaside Hotel
Galesong,ID,89.6,few clouds,-5.32,119.37,Sapriadi Appy
Tukrah,LY,70.52,scattered clouds,32.53,20.58,استراحة لاقروتا
Wanning,CN,88.54,light rain,18.8,110.4,Paradise Hotel
Bungu,TZ,74.88,clear sky,-7.63,39.06,
Sarh,TD,82.4,broken clouds,9.14,18.39,Hôtel des Chasses
Auki,SB,83.75,broken clouds,-8.77,160.7,Auki Motel
Sao Jose Da Coroa Grande,BR,74.7,light rain,-8.9,-35.15,Crôa Mares Hotel
Vao,NC,72.43,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
Ternate,ID,86.02,light rain,0.8,127.4,Grand Dafam Bela Ternate
Tshikapa,CD,74.46,broken clouds,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
Kozluk,TR,73.4,scattered clouds,38.19,41.49,roni rezisdans kozluk apart otel
Naze,JP,78.8,broken clouds,28.37,129.48,奄美ポートタワーホテル
Cairns,AU,80.6,scattered clouds,-16.92,145.77,Mantra Trilogy Cairns
Misratah,LY,70.56,few clouds,32.38,15.09,فندق الماسة
Sinnamary,GF,78.15,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
Yorosso,ML,77.81,overcast clouds,12.35,-4.78,Maison d'arrêt et de correction de Yoro
Faya,SA,82.4,scattered clouds,18.39,42.45,مقبرة ال مجمل
Namatanai,PG,84.36,light rain,-3.67,152.43,Namatanai Hotel
Kabin Buri,TH,84.79,light rain,13.95,101.72,Baan Sri Family
Ixtapa,MX,75.0,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
Alim,PH,87.8,light rain,9.56,122.49,Calamai Tropica
Acapulco,MX,75.34,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
Merauke,ID,83.61,few clouds,-8.47,140.33,
Saint Anthony,US,71.6,overcast clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
Adrar,MR,85.26,overcast clouds,20.5,-10.07,
Boueni,YT,84.2,scattered clouds,-12.9,45.08,Auberge bouloulou( inter djasmire )
Port Hedland,AU,84.2,overcast clouds,-20.32,118.57,The Esplanade Hotel
Neiafu,TO,78.8,broken clouds,-18.65,-173.98,Mystic Sands
Cap Malheureux,MU,79.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
Kieta,PG,83.84,light rain,-6.22,155.63,
Caucaia,BR,75.99,broken clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
Port-Gentil,GA,77.0,broken clouds,-0.72,8.78,Fengshui Residence
Yala,TH,89.6,few clouds,6.33,101.25,งานแต่ง Murnee - Wahid
Koutsouras,GR,72.0,broken clouds,35.03,25.95,The White Houses
Victoria,HK,88.0,light rain,22.29,114.16,Mini Hotel Central
Pitimbu,BR,73.9,broken clouds,-7.47,-34.81,Reserva do Abiaí
Yining,CN,86.56,light rain,29.04,114.56,Xiushui Hotel
Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
Meulaboh,ID,86.22,overcast clouds,4.14,96.13,Kost Pria
Honiara,SB,86.0,shower rain,-9.43,159.95,Heritage Park Hotel
Goure,NE,88.0,overcast clouds,13.98,10.27,
Sayyan,YE,70.92,broken clouds,15.17,44.32,الاستاذة مروى اليوسفي
Mujiayingzi,CN,76.28,broken clouds,42.12,118.78,Jinjiang Hotel
Henderson,US,84.2,clear sky,36.04,-114.98,Hawthorn Suites By Wyndham Las Vegas/Henderson
Touros,BR,73.4,scattered clouds,-5.2,-35.46,INN NEW HORIZON
Nome,US,70.0,overcast clouds,64.5,-165.41,Dredge 7 Inn
Mahebourg,MU,78.8,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
Brownsville,US,79.0,light rain,25.9,-97.5,Hotel Alameda Express
Takoradi,GH,78.1,broken clouds,4.88,-1.76,Raybow International Hotel
Oshnaviyeh,IR,75.2,clear sky,37.04,45.1,Aram Qurbani
Aripuana,BR,71.38,broken clouds,-9.17,-60.63,
Yinchuan,CN,83.05,broken clouds,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
La Romana,DO,78.8,few clouds,18.43,-68.97,Casa de Campo Resort and Villas
Kimbe,PG,82.78,moderate rain,-5.55,150.14,Kimbe Bay Hotel
Camopi,GF,71.64,overcast clouds,3.17,-52.32,
Merritt Island,US,81.0,few clouds,28.54,-80.67,
Komsomolskiy,UZ,87.8,broken clouds,40.43,71.72,"Hotel ""Ikathouse"""
Piacabucu,BR,74.23,scattered clouds,-10.41,-36.43,Piaçabuçu News
Labuhan,ID,84.72,overcast clouds,-6.88,112.21,bador sepret
Ambilobe,MG,81.97,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
San Andres,CO,78.8,scattered clouds,12.58,-81.7,Hotel Arena Blanca
Taitung,TW,86.0,broken clouds,22.76,121.14,Taitung Bali Suites Hotel
Bulaevo,KZ,75.16,light rain,54.91,70.44,"Игровой клуб ""ДОМ ИГР Z"""
Pochutla,MX,80.01,broken clouds,15.74,-96.47,Hotel Posada San Jose
Guadalajara,MX,73.4,broken clouds,20.67,-103.33,Hotel Aranzazú
Manta,EC,73.2,overcast clouds,-0.95,-80.73,Balandra Hotel
Ciudad Guayana,VE,77.0,overcast clouds,8.35,-62.65,Hotel Las Americas
Maroantsetra,MG,75.99,light rain,-15.43,49.73,La Pagode
Los Algarrobos,PA,78.01,broken clouds,8.5,-82.43,Waterfall Hostel
Kemin,KG,81.21,few clouds,42.78,75.69,Hotel Kok-Oirok
Vostok,RU,76.82,broken clouds,46.49,135.88,
Gossaigaon,IN,87.06,light rain,26.45,89.99,Daory Dhaba
Luganville,VU,82.4,few clouds,-15.53,167.17,The Espiritu Hotel
Yicheng,CN,84.99,clear sky,31.37,119.87,GreenTree Alliance Wuxi Yixing Jinyizhong Road Chengbei RT-Market Hotel
Zhangye,CN,76.5,broken clouds,38.93,100.45,Zhangye Lvzhou Holiday Inn
Pallisa,UG,70.83,overcast clouds,1.15,33.71,Bukusu crossroads hotel
Biloela,AU,75.99,overcast clouds,-24.42,150.5,Silo Motor Inn
Zhanaozen,KZ,83.8,clear sky,43.3,52.8,K.korabay 28A
Portel,BR,74.53,overcast clouds,-1.94,-50.82,Pousada Avenida
Palu,ID,86.11,moderate rain,-0.89,119.87,Swiss-Belhotel Palu
Olinda,BR,75.2,few clouds,-8.01,-34.86,Hotel 5 Sóis
Cockburn Town,TC,80.94,few clouds,21.46,-71.14,Osprey Beach Hotel
Kapoeta,SS,83.12,broken clouds,4.77,33.59,Eastgate Hotel
Jalingo,NG,78.62,overcast clouds,8.88,11.37,Debright Motel
Tautira,PF,80.6,few clouds,-17.73,-149.15,Pension Oaoa
Shibetsu,JP,75.2,few clouds,43.66,145.13,Hotel Kawabata Shibetsu
Koungou,YT,84.2,scattered clouds,-12.73,45.2,Villa Netibor
Hobyo,SO,86.18,broken clouds,5.35,48.53,Osmani Hotel
Houma,US,75.2,clear sky,29.6,-90.72,Courtyard by Marriott Houma
Funadhoo,MV,83.53,light rain,6.15,73.27,Dhaffalhu Tourist Lodge
Saint-Joseph,RE,79.0,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
Nacogdoches,US,73.4,clear sky,31.6,-94.63,The Fredonia Hotel & Convention Center
Kawalu,ID,85.46,light rain,-7.38,108.21,KOSAN UNGU UNSIK
Singapore,SG,84.2,light rain,1.29,103.85,Swissôtel The Stamford
Morondava,MG,74.93,clear sky,-20.28,44.28,La Case Bambou
Lermontovka,RU,78.44,scattered clouds,47.15,134.34,
Balkanabat,TM,74.57,overcast clouds,39.51,54.37,Nebitchi Hotel
Sydney,AU,70.0,broken clouds,-33.87,151.21,QT Sydney
Puerto Cabezas,NI,79.59,light rain,14.04,-83.39,Hotel Caribe
Umm Lajj,SA,81.63,clear sky,25.02,37.27,Tanal Hotel Apartment
Viesca,MX,73.0,clear sky,25.35,-102.8,Mi Tierra Querida Hostal
Barra Patuca,HN,80.6,moderate rain,15.8,-84.28,
Tahoua,NE,84.2,dust,14.89,5.27,Bungalows Guesthouse
Urumqi,CN,89.6,clear sky,43.8,87.6,Hua Ling Grand Hotel Urumqi
Tongren,CN,85.78,scattered clouds,27.72,109.19,Fanjing Mountain International Conference Center
Majene,ID,86.13,broken clouds,-3.54,118.97,Kost Putri RABBANI
Khandbari,NP,83.26,light rain,27.37,87.2,नेवारी फाष्टफुड एण्ड लज
Krutikha,RU,72.75,broken clouds,53.96,81.21,
Jinchang,CN,75.94,broken clouds,38.5,102.17,Mingshihui Jinchang International Hotel
Namie,JP,70.0,overcast clouds,37.48,141.0,福島いこいの村なみえ
Basar,IN,77.0,haze,27.98,94.67,
Tarakan,ID,84.67,few clouds,3.3,117.63,Hotel D' CaLia Tarakan
Tottori,JP,78.8,broken clouds,35.5,134.23,Hotel Monarque Tottori
